地段位置或門牌,總價(萬元),總面積(坪),型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,污水處理廠,垃圾場,發電廠,墓地,殯儀館,機場,高速/快速公路,高鐵,
高雄市前金區七賢二路１２８號二樓,995,42.82,住宅大樓(11層含以上有電梯),1,1,1,3,2,2,1,1,1.037935225,0.686708945,1.974295687,1.187928,4.007546607,0.5126,0.680554,0.1284,0.719551888,0.349217,1.089499932,0.852,3.5328,4.330465664,5.399949449,9.128224051,3.6262,7.001683622,4.667566378,8.449500077,4.042179,6.138932,
高雄市鼓山區明倫路１４６號九樓之２,609,26.2,住宅大樓(11層含以上有電梯),18,2,1,2,1,1,1,1,0.643089151,1.078093087,1.490608662,3.59824,5.603035823,0.5427,1.459703,0.6157,1.359095509,0.397779,1.044716289,0.5641,5.3531,5.771793047,7.378595584,10.62979122,7.1303,4.775942287,3.594522546,11.38808357,1.911541,2.749277,
高雄市楠梓區翠屏路５９號七樓,650,27.93,住宅大樓(11層含以上有電梯),7,2,1,2,1,1,1,1,0.887738921,2.567105625,7.785088893,10.21634,11.41098459,1.216,3.728049,1.1668,0.300865567,0.290593,0.656224163,0.3462,3.2377,4.221657128,3.599758635,9.893870043,13.881,1.433928372,3.56699814,17.63112413,3.465117,4.391621,
高雄市鳳山區武營路５２巷９８號,1180,50.67,住宅大樓(11層含以上有電梯),2,3,1,3,2,2,1,1,1.41789449,3.032496153,4.745592477,2.386478,2.50536761,2.0756,3.972971,1.1544,0.888695314,0.493901,0.088941556,1.0179,2.5422,1.043346208,2.045137614,4.358852617,3.964,3.695676921,5.971487331,3.740683739,2.469676,9.523108,
高雄市仁武區霞海路２９１號九樓,930,39.92,住宅大樓(11層含以上有電梯),1,2,1,2,2,1,1,1,0.33304753,1.800979571,4.842416591,6.619689,6.416247677,1.5124,3.476882,0.9545,1.960139554,0.17972,0.057709105,0.9783,4.3153,2.263600662,7.449692727,10.33917469,9.6707,1.596230078,2.986264023,12.66924361,1.314073,1.527191,
高雄市鳳山區武營路８４巷６弄４之２號,438,18.78,公寓(5樓含以下無電梯),42,1,0,3,2,2,0,0,1.398747108,3.026930034,4.617896472,2.379568,2.458978923,2.0626,3.857323,1.1234,0.766551271,0.429025,0.163969888,0.8306,2.4485,0.909594754,2.205609228,4.549762618,3.778,3.884829789,5.917694869,3.820485187,2.423578,9.43048,
高雄市三民區大豐一路３３５巷１之１號,560,24.01,華廈(10層含以下有電梯),27,1,0,3,2,2,1,1,0.689787084,2.40406004,2.253173802,3.581868,3.310769056,2.7523,1.95179,1.0043,1.143623764,0.591534,0.563089287,0.9794,3.361,4.838305704,7.616426097,7.624756089,6.9623,3.811947829,0.339451709,9.563948272,1.837284,3.872653,
高雄市楠梓區東寧路１３９號二十九樓,3220,138.02,住宅大樓(11層含以上有電梯),7,3,2,4,2,3,1,1,1.488423544,0.965704857,9.606952885,11.63596,11.49246481,1.162,3.181568,1.0569,0.235128114,0.341701,0.545094185,0.5791,0.9299,1.163334706,5.229487825,7.082031901,14.899,1.774347922,3.651126427,17.68905891,1.308377,5.479082,
高雄市仁武區京吉二路３５號四樓,730,31.26,住宅大樓(11層含以上有電梯),7,1,1,2,1,1,1,1,1.796543826,3.877453406,5.396413673,6.165687,6.117525586,3.5889,5.123332,2.3398,0.477196305,0.853718,0.8599764,0.9078,4.6981,2.023401584,9.111208612,9.081430296,10.134,2.67847565,1.752450315,12.1879349,1.82475,3.603523,
高雄市仁武區霞海路２６９號八樓,926,39.64,住宅大樓(11層含以上有電梯),1,2,1,2,2,1,1,1,0.357135475,1.812052948,4.785736871,6.562005,6.35819609,1.5237,3.464683,0.8979,1.937499646,0.237447,0.026264841,1.0192,4.3723,2.305315567,7.486313723,10.28937765,9.6148,1.654235147,2.929281825,12.6112456,1.26563,1.539967,
高雄市三民區明哲路３５之１號十一樓,1600,68.45,住宅大樓(11層含以上有電梯),24,3,1,3,2,2,1,1,1.274454793,2.353824843,2.00827606,3.843209,4.281547947,1.0003,2.32034,0.2827,0.422280732,0.222918,0.364824863,0.5394,4.1154,5.239988664,8.569102344,9.156416024,6.7016,4.571351058,2.084796112,10.33205859,2.037907,3.001725,
高雄市鳥松區大華路３９號三樓之１,2112,90.35,住宅大樓(11層含以上有電梯),5,1,2,3,2,4,1,1,0.668984412,1.888696667,3.034750733,2.532458,2.552159378,2.8445,2.397381,1.2803,0.883153203,0.162316,0.460296453,0.9713,2.8449,4.203151937,6.461910751,6.04017682,6.9963,2.193415468,1.539271727,8.558309787,2.313109,5.397584,
高雄市仁武區勇全路２２６號十三樓,880,37.64,住宅大樓(11層含以上有電梯),2,3,1,3,2,2,1,1,1.464478639,3.910528025,4.374145074,5.083068,5.01574413,3.6146,4.052095,2.0215,0.742089058,0.252547,1.139593796,0.1992,5.2052,3.037612453,9.020202811,8.244077639,9.0565,3.374506293,1.810653551,11.12227152,1.299832,3.661204,
高雄市鼓山區南屏路５５５號十二樓之１１,268,11.46,住宅大樓(11層含以上有電梯),25,3,0,1,1,1,1,1,0.423721983,1.372738826,1.572440685,3.486477,5.247085722,0.4084,1.797157,0.3519,1.328566378,0.321172,1.269185658,0.2096,5.0002,5.758329809,7.715009189,10.27599931,6.8794,4.830145335,3.301842265,11.05470819,2.118363,2.875055,
高雄市左營區華夏路３４５號十二樓,2050,87.45,住宅大樓(11層含以上有電梯),9,3,2,4,2,2,1,1,1.355116356,0.437003542,2.019809989,4.264917,6.149733732,0.8621,0.86437,1.0556,1.172737989,0.393356,0.378852578,0.5387,5.9343,5.320944296,6.743096417,11.07568841,7.8452,4.231364622,3.796304033,12.03826096,1.225198,2.136593,
高雄市三民區大豐二路１１６之８號十五樓,1250,53.32,住宅大樓(11層含以上有電梯),16,3,1,4,2,2,1,1,2.017402443,0.942295163,1.438793423,2.279841,1.891347837,1.7412,0.775375,1.659,0.625407264,0.345535,0.191673732,0.7681,1.8823,3.450022121,6.249008061,6.697445375,5.6182,3.593181524,1.707835283,8.125403028,1.700006,5.165907,
